ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60201104	60201194	0	229,401,342	2,0,0	314,299,275	0,0,0	461	49	1	1.0	0.924,1.0,1.0	1.0,1.0,1.0	-0.025
1	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60208471	60208571	1	226,400,341	1,2,0	312,302,276	0,0,0	461	49	0.573624591495	1.0	0.96,0.955,1.0	1.0,1.0,1.0	-0.028
2	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60209485	60209736	2	233,413,355	5,5,8	317,311,281	5,5,4	461	49	0.617999750914	1.0	0.832,0.898,0.825	0.871,0.869,0.882	-0.022
3	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57030407	57030346	57030407	57027838	57027919	3	1632,1289,1556	0,1,1	1356,1386,1332	0,0,0	1477	49	1	1.0	1.0,0.977,0.981	1.0,1.0,1.0	-0.014
7	"ENSMUSG00000003559"	"As3mt"	chr19	+	46697985	46698122	46697985	46698100	46700659	46700729	7	92,86,74	1,4,4	59,78,88	1,7,2	71	49	0.738974821078	1.0	0.984,0.937,0.927	0.976,0.885,0.968	0.006
9	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46268976	46269182	46268976	46269170	46271473	46271624	9	28,22,26	26,33,29	23,31,20	31,30,21	61	49	0.854454286802	1.0	0.464,0.349,0.419	0.373,0.454,0.433	-0.009
12	"ENSMUSG00000036097"	"Slf2"	chr19	+	44929897	44931378	44929897	44930865	44931887	44931958	12	0,1,1	50,55,51	0,2,5	43,42,39	562	49	1	1.0	0.0,0.002,0.002	0.0,0.004,0.011	-0.004
14	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44115804	44115923	44115855	44115923	44113246	44113331	14	43,53,35	0,1,0	31,38,44	1,0,0	100	49	1	1.0	1.0,0.963,1.0	0.938,1.0,1.0	0.008
15	"ENSMUSG00000025188"	"Hps1"	chr19	-	42755124	42755272	42755148	42755272	42754351	42754421	15	2,3,2	0,0,0	3,5,1	1,0,1	73	49	1	1.0	1.0,1.0,1.0	0.668,1.0,0.402	0.31
16	"ENSMUSG00000025188"	"Hps1"	chr19	-	42755124	42755272	42755148	42755272	42754568	42754655	16	13,13,7	8,17,12	18,22,11	21,14,15	73	49	0.71954054214	1.0	0.522,0.339,0.281	0.365,0.513,0.33	-0.022
17	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	17	28,37,28	14,9,13	33,33,40	4,8,8	55	49	0.0232825647642	0.3463241665589157	0.641,0.786,0.657	0.88,0.786,0.817	-0.133
18	"ENSMUSG00000024798"	"Htr7"	chr19	-	35946703	35947464	35946708	35947464	35936133	35937799	18	3,0,0	3,3,0	1,1,1	3,2,1	54	49	1	1.0	0.476,0.0,NA	0.232,0.312,0.476	-0.102
19	"ENSMUSG00000024795"	"Kif20b"	chr19	+	34912307	34912532	34912307	34912404	34913025	34913137	19	161,237,163	4,5,4	148,171,213	0,1,0	177	49	0.000130441366756	0.014526424934190908	0.918,0.929,0.919	1.0,0.979,1.0	-0.071
21	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29498173	29498369	29498247	29498369	29487548	29487729	21	13,10,10	1,0,1	9,6,12	0,0,1	123	49	1	1.0	0.838,1.0,0.799	1.0,1.0,0.827	-0.063
23	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27808010	27808192	27808052	27808192	27803432	27803552	23	15,6,29	0,0,0	31,18,23	0,1,0	91	49	1	1.0	1.0,1.0,1.0	1.0,0.906,1.0	0.031
25	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26725805	26726352	26725805	26725937	26727251	26727347	25	12,8,10	0,0,0	16,5,3	1,0,1	464	49	1	1.0	1.0,1.0,1.0	0.628,1.0,0.241	0.377
26	"ENSMUSG00000059363"	"Fxn"	chr19	-	24249667	24249831	24249710	24249831	24244665	24244763	26	2,4,3	45,90,42	3,0,6	60,44,56	92	49	0.870871454878	1.0	0.023,0.023,0.037	0.026,0.0,0.054	0.001
27	"ENSMUSG00000024943"	"Smc5"	chr19	-	23192005	23192104	23192008	23192104	23191429	23191534	27	58,61,53	86,77,82	61,52,58	59,94,81	52	49	0.792477042126	1.0	0.389,0.427,0.379	0.493,0.343,0.403	-0.015
29	"ENSMUSG00000046230"	"Vps13a"	chr19	-	16722149	16722321	16722187	16722321	16720359	16720422	29	10,22,16	0,0,0	18,17,26	0,0,1	87	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.936	0.021
34	"ENSMUSG00000067577"	"A430093F15Rik"	chr19	+	10759125	10760445	10759125	10759328	10762596	10762709	34	417,186,337	0,0,1	310,281,302	0,0,0	1166	49	1	1.0	1.0,1.0,0.934	1.0,1.0,1.0	-0.022
36	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10554814	10555257	10554814	10554927	10556345	10556438	36	179,165,224	1,0,0	347,368,365	1,4,2	379	49	0.0501833520593	0.5213043060269492	0.959,1.0,1.0	0.978,0.922,0.959	0.033
38	"ENSMUSG00000024660"	"Incenp"	chr19	-	9855040	9855612	9855491	9855612	9853953	9854180	38	884,1119,945	4,1,2	859,772,814	1,2,4	500	49	0.802838605469	1.0	0.956,0.991,0.979	0.988,0.974,0.952	0.004
39	"ENSMUSG00000071646"	"Mta2"	chr19	+	8923630	8924114	8923630	8923748	8924400	8924500	39	1215,1245,1196	0,1,0	1237,1174,1094	0,0,1	415	49	1	1.0	1.0,0.993,1.0	1.0,1.0,0.992	0.0
40	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8739675	8739859	8739675	8739851	8740046	8740200	40	367,441,410	0,0,0	449,456,459	0,0,1	57	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001
42	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720716	8720866	8720716	8720787	8725824	8725941	42	68,52,54	75,106,126	78,82,88	113,127,97	128	49	0.126282545888	0.8364155239208776	0.258,0.158,0.141	0.209,0.198,0.258	-0.036
43	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8726170	8726263	8726170	8726252	8727029	8727136	43	17,14,24	164,125,155	25,17,20	160,166,166	60	49	0.918848286669	1.0	0.078,0.084,0.112	0.113,0.077,0.09	-0.002
44	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8715211	8715358	8715211	8715226	8715516	8715618	44	294,386,280	2,2,0	255,257,259	0,1,1	181	49	1	1.0	0.975,0.981,1.0	1.0,0.986,0.986	-0.005
45	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703288	8703145	8703190	8703430	8703466	45	209,408,170	273,436,201	131,128,129	218,226,215	147	49	0.00118411289213	0.07634412067680263	0.203,0.238,0.22	0.167,0.159,0.167	0.056
47	"ENSMUSG00000024764"	"Naa40"	chr19	-	7211468	7212523	7212427	7212523	7207552	7207648	47	308,295,269	1,0,0	323,377,348	0,1,0	1008	49	1	1.0	0.937,1.0,1.0	1.0,0.948,1.0	-0.004
48	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979937	6980044	6979947	6980044	6979124	6979820	48	336,309,312	4,0,3	325,324,296	5,5,4	59	49	0.361447751889	1.0	0.986,1.0,0.989	0.982,0.982,0.984	0.009
49	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6942874	6942952	6942876	6942952	6942664	6942765	49	0,0,1	21,17,10	0,0,0	18,19,23	51	49	1	1.0	0.0,0.0,0.088	0.0,0.0,0.0	0.029
50	"ENSMUSG00000118668"	"RPS6KA4"	chr19	-	6817701	6817773	6817747	6817773	6816827	6817046	50	32,35,28	1,1,2	36,43,37	1,0,3	95	49	0.602803811593	1.0	0.943,0.948,0.878	0.949,1.0,0.864	-0.015
51	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393831	6394109	6393831	6393913	6394436	6394515	51	791,530,720	1,1,0	911,911,848	0,0,0	245	49	1	1.0	0.994,0.991,1.0	1.0,1.0,1.0	-0.005
52	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6396721	6396847	6396721	6396839	6401209	6401268	52	36,25,42	309,205,292	50,59,61	379,408,369	57	49	0.336220244526	1.0	0.091,0.095,0.11	0.102,0.111,0.124	-0.014
53	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6402804	6403220	6402804	6402891	6403307	6403363	53	1057,692,890	0,0,1	1176,1189,1215	0,0,0	378	49	1	1.0	1.0,1.0,0.991	1.0,1.0,1.0	-0.003
55	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6305130	6305301	6305130	6305295	6305438	6305568	55	6,4,9	32,17,21	4,7,9	33,26,27	55	49	0.715486183926	1.0	0.143,0.173,0.276	0.097,0.193,0.229	0.024
56	"ENSMUSG00000039699"	"Batf2"	chr19	+	6214483	6215198	6214483	6214780	6216497	6216602	56	7,3,2	0,0,1	4,4,4	0,0,0	467	49	1	1.0	1.0,1.0,0.173	1.0,1.0,1.0	-0.276
58	"ENSMUSG00000079478"	"Znrd2"	chr19	-	5781466	5781623	5781471	5781623	5781268	5781353	58	7,19,2	54,65,50	2,3,6	64,45,50	54	49	0.0174977066938	0.292032693312027	0.105,0.21,0.035	0.028,0.057,0.098	0.056
59	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5733304	5733440	5733334	5733440	5731459	5731581	59	85,78,107	4,6,10	87,90,87	5,3,4	79	49	0.151178646282	0.8903550081512019	0.929,0.89,0.869	0.915,0.949,0.931	-0.036
60	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5733304	5733440	5733334	5733440	5731459	5731602	60	59,46,62	4,5,4	62,56,61	3,1,1	79	49	0.0160382447092	0.28473695317057973	0.901,0.851,0.906	0.928,0.972,0.974	-0.072
61	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548423	5548534	5548439	5548534	5548207	5548329	61	16,5,24	6,2,3	20,18,14	4,8,3	65	49	0.692995534195	1.0	0.668,0.653,0.858	0.79,0.629,0.779	-0.006
62	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516608	5516763	5516695	5516763	5516416	5516513	62	255,95,190	0,0,1	139,170,153	0,0,0	136	49	1	1.0	1.0,1.0,0.986	1.0,1.0,1.0	-0.005
63	"ENSMUSG00000086938"	"4930481A15Rik"	chr19	+	5465035	5465140	5465035	5465127	5465634	5465840	63	6,19,7	0,1,1	6,4,3	1,1,1	62	49	0.0999957421134	0.768056404538162	1.0,0.938,0.847	0.826,0.76,0.703	0.165
65	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883475	65	81,62,80	4,1,1	76,81,84	2,0,1	116	49	0.118628388288	0.810399923590947	0.895,0.963,0.971	0.941,1.0,0.973	-0.028
66	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884221	4884338	4883368	4883546	66	74,60,77	3,2,3	72,85,90	3,2,4	70	49	0.911331863284	1.0	0.945,0.955,0.947	0.944,0.967,0.94	-0.001
67	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883546	67	132,96,136	0,0,0	133,144,153	1,3,2	116	49	0.579117756126	1.0	1.0,1.0,1.0	0.983,0.953,0.97	0.031
68	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884221	4884338	4884267	4884338	4883368	4883546	68	61,38,62	0,0,0	64,61,67	1,3,2	95	49	0.1275615698	0.8364155239208776	1.0,1.0,1.0	0.971,0.913,0.945	0.057
69	"ENSMUSG00000096370"	"Gm21992"	chr19	-	4843843	4844037	4843953	4844037	4842662	4842848	69	151,127,151	1,1,3	171,149,123	2,2,0	159	49	0.600594695902	1.0	0.979,0.975,0.939	0.963,0.958,1.0	-0.009
70	"ENSMUSG00000024889"	"Rce1"	chr19	-	4674687	4674791	4674712	4674791	4674041	4674179	70	7,9,11	1,2,1	6,9,10	0,0,2	74	49	0.190760536344	0.9656915137676892	0.823,0.749,0.879	1.0,1.0,0.768	-0.106
